street,house_number,BEZ,HA_NAME,BAUJAHR,ARCHITEKT,GESCH_ANZ,L_NUTZUNG,L_BAUTYP,L_BAUJ,SHAPE
Auhofstraße,143.0,13,,,,2.0,Wohnnutzung,W1.2.-bäuerl.dom.Baustrukt.-Zwerchh.u.Gassenfrontenhaus,1860-1883,POINT (16.2701162824741 48.19083500820189)
Fockygasse,30.0,12,,,,4.0,Wohnnutzung,W3.1.-Mieth.s.d.Gründerzeit-Straßentrakter,1848 -1918,POINT (16.3425944558829 48.18079356653358)
Nußdorfer Straße,4.0,9,"ehemaliges ""Wiener Collosseum""",1897.0,Stephann Carl,4.0,Wohnnutzung,"W3.6.-Mieth.s.d.Gründerzeit-Mehrhofhaus, Gruppenbauten",1884-1918,POINT (16.353714721219212 48.22261452121146)
Herzgasse,2.0,10,,,,4.0,Wohnnutzung,W3.7.-Mieth.s.d.Gründerzeit-Eckhaus,Keine Angabe,POINT (16.367336550498614 48.17980780849473)
Schneidergasse,12.0,11,,1900.0,,,keine Angabe,Keine Angabe,1884-1918,POINT (16.408850251939032 48.18349822519263)
Leitgebgasse,14.0,5,,,,5.0,Wohnnutzung,W3.1.-Mieth.s.d.Gründerzeit-Straßentrakter,1848 -1918,POINT (16.353212192828487 48.183771586908705)
Springergasse,8.0,2,,,,5.0,Wohnnutzung,W3.2.-Mieth.s.d.Gründerzeit-Seitenflügelhaus,1848 -1918,POINT (16.38750888552849 48.221324654270646)
Darwingasse,18.0,2,,,,7.0,Wohnnutzung,W3.1.-Mieth.s.d.Gründerzeit-Straßentrakter,nach 1945,POINT (16.385710486200566 48.221997055945344)
Pyrkergasse,41.0,19,,,,5.0,Wohnnutzung,W3.1.-Mieth.s.d.Gründerzeit-Straßentrakter,nach 1945,POINT (16.35519008941776 48.24131309133445)
Dunantgasse,15.0,21,Karl-Seitz-Hof,,,5.0,Wohnnutzung,W4.2.-soz.u.gemeinn.Wohnb.-Hofbebauungen/Superblocks,1919 - 1945,POINT (16.389634264827173 48.26261473285177)
Bettelheimstraße,100.0,22,,,,1.0,Sonstige,W1.2.-bäuerl.dom.Baustrukt.-Zwerchh.u.Gassenfrontenhaus,1848 -1918,POINT (16.49215743668934 48.27921319697179)
Einsiedeleigasse,22.0,13,,,,2.0,Wohnnutzung,"W5.2.-freist.1-,2-u.Mehrfamilienh.-freistehende Villen",nach 1945,POINT (16.264412741594732 48.18407343117276)
