street,house_number,BEZ,HA_NAME,BAUJAHR,ARCHITEKT,GESCH_ANZ,L_NUTZUNG,L_BAUTYP,L_BAUJ,SHAPE
Mohsgasse,11.0,3,,,,3.0,Wohnnutzung,W3.2.-Mieth.s.d.Gründerzeit-Seitenflügelhaus,1848 -1918,POINT (16.386426689081965 48.189806489555984)
Ramperstorffergasse,56.0,5,,,,4.0,Wohnnutzung,W3.2.-Mieth.s.d.Gründerzeit-Seitenflügelhaus,1848 -1918,POINT (16.35614726090412 48.189038102631336)
Johann-Strauß-Gasse,23.0,4,,,,6.0,Wohnnutzung,W4.1.-soz.u.gemeinn.Wohnb.-Baulückenbebauungen,nach 1945,POINT (16.3678907578531 48.188171566576486)
Paulanergasse,7.0,4,,1900.0,Heymann Arnold,5.0,Wohnnutzung,W3.7.-Mieth.s.d.Gründerzeit-Eckhaus,1884-1918,POINT (16.366670742625427 48.19580230619951)
Matteottiplatz,2.0,16,,,,5.0,Wohnnutzung,W4.2.-soz.u.gemeinn.Wohnb.-Hofbebauungen/Superblocks,1919 - 1945,POINT (16.304675949670756 48.222186544541245)
Kirchfeldgasse,8.0,12,,1916.0,,,keine Angabe,Keine Angabe,1884-1918,POINT (16.310300568317743 48.15914842687134)
Murlingengasse,59.0,12,,,,3.0,Wohnnutzung,W3.1.-Mieth.s.d.Gründerzeit-Straßentrakter,nach 1945,POINT (16.336355310019584 48.17621734432821)
Herzgasse,74.0,10,,,,6.0,Wohnnutzung,W3.1.-Mieth.s.d.Gründerzeit-Straßentrakter,Keine Angabe,POINT (16.366038755705095 48.17144207299566)
Unter-Meidlinger Straße,67.0,12,,,,5.0,Wohnnutzung,W4.2.-soz.u.gemeinn.Wohnb.-Hofbebauungen/Superblocks,nach 1945,POINT (16.33783504726077 48.1720869013079)
Speisinger Straße,77.0,13,,,,1.0,Wohnnutzung,W1.1.-bäuerl.dom.Baustrukt.-Streck- u. Hakenhof,vor 1848,POINT (16.282507980297645 48.16629343423275)
Hahngasse,24.0,9,keine Angabe,1882.0,Ribak Josef,4.0,Wohnnutzung,W3.7.-Mieth.s.d.Gründerzeit-Eckhaus,1860-1883,POINT (16.365547737014836 48.2221750332069)
Adambergergasse,4.0,2,,,,4.0,Wohnnutzung,W3.1.-Mieth.s.d.Gründerzeit-Straßentrakter,1848 -1918,POINT (16.374438937217246 48.22015586941246)
Kaiser-Ebersdorfer Straße,308.0,11,,,,1.0,Wohnnutzung,W1.2.-bäuerl.dom.Baustrukt.-Zwerchh.u.Gassenfrontenhaus,nach 1945,POINT (16.468216849617672 48.159621515577314)
Friedrichstraße,6.0,1,,1860.0,Börner Karl,5.0,Wohnnutzung,W3.7.-Mieth.s.d.Gründerzeit-Eckhaus,1860-1883,POINT (16.36772483112423 48.20135876148369)
Artariastraße,10.0,17,,1866.0,,2.0,Wohnnutzung,Keine Angabe,1860-1883,POINT (16.28254526269895 48.24080144564484)
Gobergasse,36.0,13,,,,2.0,Wohnnutzung,"W5.2.-freist.1-,2-u.Mehrfamilienh.-freistehende Villen",nach 1945,POINT (16.27424218580007 48.17909327857202)
Röntgengasse,73.0,17,,,,2.0,Wohnnutzung,"W4.4.-soz.u.gemeinn.Wohnb.-Siedlungen,1-,2-u.Mehrfamilienh.",1919 - 1945,POINT (16.281029640486608 48.226470995220645)
Siccardsburggasse,3.0,10,,,,5.0,Wohnnutzung,W3.1.-Mieth.s.d.Gründerzeit-Straßentrakter,Keine Angabe,POINT (16.371365595522356 48.18086730977663)
Voltagasse,40.0,21,,,,2.0,betriebliche Nutzung,10.-Kaufhäuser,1848 -1918,POINT (16.39088648250375 48.26440989226801)
Schenkendorfgasse,66.0,21,,,,1.0,Wohnnutzung,W1.2.-bäuerl.dom.Baustrukt.-Zwerchh.u.Gassenfrontenhaus,1848 -1918,POINT (16.412035029045406 48.254524758377016)
Sedlitzkygasse,29.0,11,,,,5.0,Wohnnutzung,W4.1.-soz.u.gemeinn.Wohnb.-Baulückenbebauungen,nach 1945,POINT (16.41340495518472 48.17500453147144)
Versorgungsheimplatz,1.0,13,,,,1.0,öffentliche Einrichtung,"W6.2.-Sonderwohnbauten-Heim,Pflegeanstalt,Spitalsbauten",1848 -1918,POINT (16.272499618960957 48.17571967137076)
Altmannsdorfer Straße,46.0,12,,,,0.0,keine Angabe,Keine Angabe,Keine Angabe,POINT (16.315453386803554 48.16856337537932)
Faistauergasse,93.0,13,,,,2.0,Wohnnutzung,"W4.4.-soz.u.gemeinn.Wohnb.-Siedlungen,1-,2-u.Mehrfamilienh.",1919-1945,POINT (16.276373675990374 48.17570772109916)
Rauchgasse,31.0,12,,,,5.0,Wohnnutzung,W3.1.-Mieth.s.d.Gründerzeit-Straßentrakter,nach 1945,POINT (16.33200361138174 48.17806745555927)
Engerthstraße,204.0,2,,,,5.0,Wohnnutzung,W3.1.-Mieth.s.d.Gründerzeit-Straßentrakter,1848 -1918,POINT (16.40551781238001 48.222422169233404)
Gassergasse,19.0,5,,,,7.0,Wohnnutzung,W4.2.-soz.u.gemeinn.Wohnb.-Hofbebauungen/Superblocks,nach 1945,POINT (16.36453880375765 48.18352562878873)
Weitmosergasse,58.0,10,,1925.0,,2.0,Wohnnutzung,"W4.4.-soz.u.gemeinn.Wohnb.-Siedlungen,1-,2-u.Mehrfamilienh.",1919-1945,POINT (16.353457201383854 48.16696411499693)
Herbeckstraße,65.0,18,,,,1.0,Wohnnutzung,W3.1.-Mieth.s.d.Gründerzeit-Straßentrakter,1848 -1918,POINT (16.318903853994062 48.23221075851228)
Voltagasse,43.0,21,,,,8.0,Wohnnutzung,W4.3.-soz.u.gemeinn.Wohnb.-Siedlungen in Zeilenbauweise,nach 1945,POINT (16.38713273285892 48.26452160443529)
Hadikgasse,22.0,14,,,,4.0,Wohnnutzung,W4.1.-soz.u.gemeinn.Wohnb.-Baulückenbebauungen,nach 1945,POINT (16.310330740642108 48.18823358234311)
Gansterergasse,6.0,16,,,,1.0,betriebliche Nutzung,12.-Gewerbebetriebe,nach 1945,POINT (16.32248547578803 48.214015214643545)
Unterer Schreiberweg,24.0,19,,,,3.0,Wohnnutzung,"W5.1.-freist.1-,2-u.Mehrfamilienh.-Villen in Randbebauung",nach 1945,POINT (16.3475379436957 48.25896065198116)
Linzer Straße,203.0,14,,1900.0,,,keine Angabe,Keine Angabe,1884-1918,POINT (16.29235438993414 48.19408094748189)
Böcklinstraße,21.0,2,,,,2.0,Wohnnutzung,"W5.2.-freist.1-,2-u.Mehrfamilienh.-freistehende Villen",nach 1945,POINT (16.398157493520497 48.20968039176722)
Wiedner Hauptstraße,78.0,4,,,,4.0,Wohnnutzung,W3.1.-Mieth.s.d.Gründerzeit-Straßentrakter,1848 -1918,POINT (16.365127622917697 48.189128009454315)
Voltagasse,43.0,21,,,,5.0,Wohnnutzung,W4.3.-soz.u.gemeinn.Wohnb.-Siedlungen in Zeilenbauweise,nach 1945,POINT (16.386967133806372 48.264051157091934)
Rabengasse,2.0,3,Rabenhof (bis 1934 Friedrich Austerlitz-Hof),1930.0,,5.0,Wohnnutzung,W4.2.-soz.u.gemeinn.Wohnb.-Hofbebauungen/Superblocks,1919-1945,POINT (16.399708090395578 48.19614203764538)
Treustraße,42.0,20,,,,4.0,Wohnnutzung,W3.1.-Mieth.s.d.Gründerzeit-Straßentrakter,1848 -1918,POINT (16.365689022788864 48.22984654950624)
Anton-Sattler-Gasse,115.0,22,Wohnhausanlage der Gemeinde Wien,1965.0,,,keine Angabe,Keine Angabe,1946-1976,POINT (16.44100537641415 48.25193255254225)
Dunklergasse,23.0,12,,,,0.0,keine Angabe,Keine Angabe,Keine Angabe,POINT (16.337435554932554 48.186360208131305)
Gatterburggasse,16.0,19,,,,5.0,Wohnnutzung,W3.1.-Mieth.s.d.Gründerzeit-Straßentrakter,nach 1945,POINT (16.35386515340651 48.23888721589018)
Wurlitzergasse,3.0,16,,,,3.0,Wohnnutzung,W3.1.-Mieth.s.d.Gründerzeit-Straßentrakter,1848 -1918,POINT (16.31673761764081 48.212262331126226)
Stiegengasse,14.0,6,,1878.0,B. Schindler,4.0,Wohnnutzung,W3.7.-Mieth.s.d.Gründerzeit-Eckhaus,1860-1883,POINT (16.35715345344872 48.19867607097252)
Große Schiffgasse,26.0,2,,,,4.0,Wohnnutzung,W3.2.-Mieth.s.d.Gründerzeit-Seitenflügelhaus,1848 -1918,POINT (16.37601023966034 48.21824580838776)
Favoritenstraße,68.0,4,,1896.0,,5.0,Wohnnutzung,W3.3.-Mieth.s.d.Gründerzeit-Doppeltrakter mit Verbindungstr.,1884-1918,POINT (16.373035181480418 48.187759578280755)
Seemüllergasse,24.0,17,,,,2.0,Wohnnutzung,"W5.2.-freist.1-,2-u.Mehrfamilienh.-freistehende Villen",nach 1945,POINT (16.29675723679512 48.2330222482383)
Kammerergasse,22.0,19,,,,2.0,Wohnnutzung,"W4.4.-soz.u.gemeinn.Wohnb.-Siedlungen,1-,2-u.Mehrfamilienh.",1919 - 1945,POINT (16.318577517434587 48.24415894887533)
Kreindlgasse,4.0,19,Marien-Villa,1892.0,R. Reichel,3.0,Wohnnutzung,W3.1.-Mieth.s.d.Gründerzeit-Straßentrakter,1884-1918,POINT (16.35162635438763 48.23758748634825)
Sieveringer Straße,92.0,19,,,,3.0,Wohnnutzung,W3.1.-Mieth.s.d.Gründerzeit-Straßentrakter,nach 1945,POINT (16.326437478471092 48.2490044052779)
Hainburger Straße,68.0,3,,1926.0,H. Schmid und H. Aichinger,5.0,Wohnnutzung,W4.2.-soz.u.gemeinn.Wohnb.-Hofbebauungen/Superblocks,1919-1945,POINT (16.401847453280748 48.19640838351235)
Weißgerberlände,16.0,3,,1889.0,Atelier Fellner und Helmer,5.0,Wohnnutzung,W3.1.-Mieth.s.d.Gründerzeit-Straßentrakter,1884-1918,POINT (16.393782899494067 48.21121439330692)
Wimmergasse,13.0,5,,,,4.0,Wohnnutzung,W3.1.-Mieth.s.d.Gründerzeit-Straßentrakter,1848 -1918,POINT (16.358609918515413 48.18489004899402)
Felbigergasse,40.0,14,,,,0.0,Sonstige,Keine Angabe,Keine Angabe,POINT (16.29275028070631 48.1957916120441)
Himmelhofgasse,96.0,13,,,,,Sonstige,Keine Angabe,Keine Angabe,POINT (16.253373281460295 48.19820978503629)
Favoritenstraße,168.0,10,,,,4.0,Wohnnutzung,W3.1.-Mieth.s.d.Gründerzeit-Straßentrakter,Keine Angabe,POINT (16.380194407076225 48.16878225281789)
Linzer Straße,294.0,14,,,,4.0,Wohnnutzung,W4.1.-soz.u.gemeinn.Wohnb.-Baulückenbebauungen,nach 1945,POINT (16.27545441232448 48.197553923509545)
Weinrothergasse,6.0,13,,,,1.0,Wohnnutzung,"W5.2.-freist.1-,2-u.Mehrfamilienh.-freistehende Villen",1848 -1918,POINT (16.283817179905974 48.170978998244614)
Dr.-Otto-Neurath-Gasse,1.0,22,Industriehof Stadlau - ehem. Arbeitergarderobe,1902.0,Schumacher Alois,1.0,betriebliche Nutzung,13.-Industriebauten,1884-1918,POINT (16.454538495238594 48.23093951796161)
Ratschkygasse,47.0,12,,,,5.0,Wohnnutzung,W3.1.-Mieth.s.d.Gründerzeit-Straßentrakter,1848 -1918,POINT (16.322523649371167 48.177599074206285)
Artariastraße,3.0,17,,1865.0,,1.0,Wohnnutzung,Keine Angabe,1860-1883,POINT (16.28303943654482 48.23981107718197)
Gallgasse,23.0,13,,,,3.0,Wohnnutzung,W4.1.-soz.u.gemeinn.Wohnb.-Baulückenbebauungen,nach 1945,POINT (16.28605557746583 48.16822742161024)
Quaringasse,16.0,10,,,,5.0,keine Angabe,W4.2.-soz.u.gemeinn.Wohnb.-Hofbebauungen/Superblocks,Keine Angabe,POINT (16.354704995118883 48.17167873769262)
Alszeile,99.0,17,,,,3.0,Wohnnutzung,W4.3.-soz.u.gemeinn.Wohnb.-Siedlungen in Zeilenbauweise,nach 1945,POINT (16.300360000470672 48.22904870777485)
Schanzstraße,34.0,15,,,,4.0,Wohnnutzung,W3.1.-Mieth.s.d.Gründerzeit-Straßentrakter,1848 -1918,POINT (16.313999315109566 48.201584543682216)
Feldgasse,19.0,8,,,,5.0,Wohnnutzung,W3.1.-Mieth.s.d.Gründerzeit-Straßentrakter,nach 1945,POINT (16.34549717499432 48.2147079402969)
Langackergasse,7.0,19,,,,2.0,Wohnnutzung,"W5.1.-freist.1-,2-u.Mehrfamilienh.-Villen in Randbebauung",1919 - 1945,POINT (16.34505375370582 48.2562736307442)
Herzgasse,35.0,10,,,,4.0,Wohnnutzung,W3.1.-Mieth.s.d.Gründerzeit-Straßentrakter,Keine Angabe,POINT (16.367255423623075 48.176406846597395)
Fugbachgasse,5.0,2,,,,4.0,Wohnnutzung,W3.1.-Mieth.s.d.Gründerzeit-Straßentrakter,1848 -1918,POINT (16.387611061973605 48.22041620540427)
Volkertplatz,6.0,2,,,,5.0,Wohnnutzung,W3.8.-Mieth.s.d.Gründerzeit-Hoftrakt,1848 -1918,POINT (16.38677082789498 48.223479572060334)
Eitelbergergasse,31.0,13,,,,1.0,Wohnnutzung,"W5.2.-freist.1-,2-u.Mehrfamilienh.-freistehende Villen",1884-1918,POINT (16.291565744846793 48.186823093060966)
Himmelstraße,49.0,19,,,,2.0,Wohnnutzung,"W5.1.-freist.1-,2-u.Mehrfamilienh.-Villen in Randbebauung",1919 - 1945,POINT (16.334356199102196 48.25652091512275)
Seilerstätte,3.0,1,Palais Coburg,1840.0,Schleps Karl,5.0,Sonstige,W2.5.-Bürgerhaus-Paläste,1781-1848,POINT (16.376740254127807 48.20578320642784)
Neilreichgasse,115.0,10,Karl-Wrba-Hof,1978.0,"Falkner Rupert, Irsigler Ernst, Jiszda Matthäus, Kaminsky Franz, Karabiberoff Stefan, Schröfl Werner, Schultmeyer Helmut",,keine Angabe,Keine Angabe,Nach 1976,POINT (16.36267850988145 48.16079385807053)
Liechtensteinstraße,65.0,9,,1878.0,,5.0,Wohnnutzung,W3.2.-Mieth.s.d.Gründerzeit-Seitenflügelhaus,1860-1883,POINT (16.357180329892415 48.224217875488506)
Schönbrunner Straße,69.0,5,,,,5.0,Wohnnutzung,W3.3.-Mieth.s.d.Gründerzeit-Doppeltrakter mit Verbindungstr.,1848 -1918,POINT (16.355255618214656 48.190628620531655)
Altmannsdorfer Straße,48.0,12,,,,3.0,Wohnnutzung,W3.1.-Mieth.s.d.Gründerzeit-Straßentrakter,nach 1945,POINT (16.315482632487196 48.16838387471776)
Klosterneuburger Straße,79.0,20,,,,1.0,betriebliche Nutzung,11.-Einkaufszentren,nach 1945,POINT (16.36562283641741 48.23389376857273)
Salierigasse,7.0,18,,,,3.0,Wohnnutzung,"W5.2.-freist.1-,2-u.Mehrfamilienh.-freistehende Villen",1848 -1918,POINT (16.326399506528876 48.22912886340979)
Hollandstraße,11.0,2,,,,6.0,betriebliche Nutzung,4.-Bauten der öffentl.u.privaten Repräsentation u.Verwaltung,nach 1945,POINT (16.377031224397648 48.21621469389532)
Schrammelgasse,14.0,17,,,,2.0,Wohnnutzung,"W4.4.-soz.u.gemeinn.Wohnb.-Siedlungen,1-,2-u.Mehrfamilienh.",1919 - 1945,POINT (16.284590132155532 48.225410010751894)
Karl-Meißl-Straße,9.0,20,Fiala-Hof,1904.0,,5.0,Wohnnutzung,W3.2.-Mieth.s.d.Gründerzeit-Seitenflügelhaus,1884-1918,POINT (16.373206050543676 48.22867453756732)
Lannerstraße,38.0,19,,,,2.0,Wohnnutzung,"W5.2.-freist.1-,2-u.Mehrfamilienh.-freistehende Villen",nach 1945,POINT (16.34168347769915 48.23624841339309)
Hütteldorfer Straße,313.0,14,,,,2.0,Wohnnutzung,W1.2.-bäuerl.dom.Baustrukt.-Zwerchh.u.Gassenfrontenhaus,1848 -1918,POINT (16.277876265850708 48.19777470117053)
Penzinger Straße,150.0,14,Schimon-Hof,1927.0,Michael Rosenauer,1.0,öffentliche Einrichtung,W4.2.-soz.u.gemeinn.Wohnb.-Hofbebauungen/Superblocks,1919-1945,POINT (16.29200986127889 48.19148185799458)
Werthenburggasse,5.0,12,,,,4.0,Wohnnutzung,W3.3.-Mieth.s.d.Gründerzeit-Doppeltrakter mit Verbindungstr.,nach 1945,POINT (16.297142557449064 48.169822448660206)
Herklotzgasse,19.0,15,,,,4.0,Wohnnutzung,W4.1.-soz.u.gemeinn.Wohnb.-Baulückenbebauungen,nach 1945,POINT (16.334680758509883 48.18974238842361)
Sautergasse,28.0,17,,,,4.0,Wohnnutzung,W3.3.-Mieth.s.d.Gründerzeit-Doppeltrakter mit Verbindungstr.,1848 -1918,POINT (16.32030686638512 48.22085642663425)
Paletzgasse,16.0,16,,,,4.0,Wohnnutzung,W3.3.-Mieth.s.d.Gründerzeit-Doppeltrakter mit Verbindungstr.,1848 -1918,POINT (16.318731048279922 48.220606817505654)
Hasnerstraße,101.0,16,,,,4.0,Wohnnutzung,W3.7.-Mieth.s.d.Gründerzeit-Eckhaus,1848 -1918,POINT (16.31817107878235 48.21020464652778)
Kleine Pfarrgasse,15.0,2,Zum Sandwirt,,,3.0,Wohnnutzung,W3.3.-Mieth.s.d.Gründerzeit-Doppeltrakter mit Verbindungstr.,nach 1945,POINT (16.377797614308374 48.21974694952755)
Hernalser Gürtel,3.0,17,,,,4.0,Wohnnutzung,W3.1.-Mieth.s.d.Gründerzeit-Straßentrakter,1848 -1918,POINT (16.33890812409786 48.21253660754323)
Ottakringer Straße,30.0,17,,,,3.0,Wohnnutzung,W3.1.-Mieth.s.d.Gründerzeit-Straßentrakter,1848 -1918,POINT (16.337476921331504 48.21506822214837)
Inzersdorfer Straße,44.0,10,,,,4.0,Wohnnutzung,W3.1.-Mieth.s.d.Gründerzeit-Straßentrakter,Keine Angabe,POINT (16.368011842323813 48.17218924381586)
Inzersdorfer Straße,97.0,10,,1900.0,,,keine Angabe,Keine Angabe,1884-1918,POINT (16.363688021071066 48.17261682273886)
Gustav-Tschermak-Gasse,3.0,18,,,,3.0,Wohnnutzung,"W5.2.-freist.1-,2-u.Mehrfamilienh.-freistehende Villen",nach 1945,POINT (16.33923452257626 48.232016315435416)
Kastnergasse,26.0,17,,,,4.0,Wohnnutzung,W3.1.-Mieth.s.d.Gründerzeit-Straßentrakter,1848 -1918,POINT (16.331437921704023 48.222169347686695)
Silbergasse,10.0,19,,,,3.0,Wohnnutzung,W3.2.-Mieth.s.d.Gründerzeit-Seitenflügelhaus,1848 -1918,POINT (16.34960484529787 48.24463343870043)
Agnesgasse,5.0,19,,,,1.0,Wohnnutzung,W1.2.-bäuerl.dom.Baustrukt.-Zwerchh.u.Gassenfrontenhaus,1683-1740,POINT (16.31594484322215 48.25395575088856)
Schiffmühlenstraße,76.0,22,,,,4.0,Wohnnutzung,W3.3.-Mieth.s.d.Gründerzeit-Doppeltrakter mit Verbindungstr.,Keine Angabe,POINT (16.422806513416187 48.225177552355376)
In der Klausen,9.0,23,,,,2.0,Wohnnutzung,"W5.1.-freist.1-,2-u.Mehrfamilienh.-Villen in Randbebauung",nach 1945,POINT (16.24428683626082 48.13850744312296)
Breitenfurter Straße,388.0,23,,1972.0,,0.0,keine Angabe,Keine Angabe,1946-1976,POINT (16.270511368547023 48.13935666131851)
Friedrich-Kaiser-Gasse,64.0,16,,,,1.0,Wohnnutzung,W3.7.-Mieth.s.d.Gründerzeit-Eckhaus,1848 -1918,POINT (16.322187404437265 48.21211338424774)
Adalbert-Stifter-Straße,65.0,20,Allgemeine Unfallversicherungsanstalt,1974.0,Hlaweniczka Kurt,,keine Angabe,Keine Angabe,1946-1976,POINT (16.375352948335102 48.24301848160149)
Zeleborgasse,21.0,12,,,,3.0,betriebliche Nutzung,6.-Bauten der öffentlichen und privaten Wirtschaft,nach 1945,POINT (16.330640349671338 48.17728210634659)
Preysinggasse,46.0,15,,,,4.0,Wohnnutzung,W3.1.-Mieth.s.d.Gründerzeit-Straßentrakter,1919 - 1945,POINT (16.32522721263626 48.20030381207152)
Lainzer Straße,123.0,13,,1589.0,,1.0,betriebliche Nutzung,Keine Angabe,Vor 1683,POINT (16.284316219007884 48.178746624189344)
Muhrengasse,15.0,10,,,,0.0,Wohnnutzung,Keine Angabe,1848 -1918,POINT (16.373780880770617 48.17317954744085)
Trenkwaldgasse,20.0,17,,,,2.0,Wohnnutzung,"W4.4.-soz.u.gemeinn.Wohnb.-Siedlungen,1-,2-u.Mehrfamilienh.",1919 - 1945,POINT (16.28087630717072 48.22775182182255)
Friesenplatz,1.0,10,,,,5.0,Wohnnutzung,W4.2.-soz.u.gemeinn.Wohnb.-Hofbebauungen/Superblocks,Keine Angabe,POINT (16.365555643556945 48.17113732554131)
Franz-Eichert-Weg,13.0,16,,,,2.0,Wohnnutzung,"W4.4.-soz.u.gemeinn.Wohnb.-Siedlungen,1-,2-u.Mehrfamilienh.",1919 - 1945,POINT (16.291785869817016 48.2141367946232)
Schopenhauerstraße,39.0,18,ehem. Bethaus,,,5.0,Wohnnutzung,W4.1.-soz.u.gemeinn.Wohnb.-Baulückenbebauungen,nach 1945,POINT (16.340659983869987 48.224112514232836)
Trautsongasse,4.0,8,Astoria-Garage,1935.0,Karrer Cesar,4.0,betriebliche Nutzung,13.-Industriebauten,1919-1945,POINT (16.354163181364427 48.207761267778146)
Hohenbergstraße,36.0,12,,,,2.0,Wohnnutzung,"W4.4.-soz.u.gemeinn.Wohnb.-Siedlungen,1-,2-u.Mehrfamilienh.",1919 - 1945,POINT (16.32230953648665 48.17526835281454)
Veitingergasse,77.0,13,Werkbundsiedlung Haus 7,,,2.0,Wohnnutzung,"W4.4.-soz.u.gemeinn.Wohnb.-Siedlungen,1-,2-u.Mehrfamilienh.",1919-1945,POINT (16.270043098894327 48.18017750750282)
Peter-Jordan-Straße,6.0,19,,1913.0,J. Reitzer,3.0,öffentliche Einrichtung,"W5.1.-freist.1-,2-u.Mehrfamilienh.-Villen in Randbebauung",1884-1918,POINT (16.348307974060702 48.23717554864613)
Diesterweggasse,17.0,14,,1901.0,Ludwig Schöne,3.0,Wohnnutzung,W3.7.-Mieth.s.d.Gründerzeit-Eckhaus,1884-1918,POINT (16.305445692383653 48.189630113133596)
Gudrunstraße,114.0,10,,,,0.0,Wohnnutzung,Keine Angabe,nach 1945,POINT (16.37934975637336 48.1779542748658)
Christian-Bucher-Gasse,24.0,21,,,,1.0,Wohnnutzung,"W1.4.-bäuerl.dom.Baustrukt.-Wohn-u.Wirtschaftsbauten,modern",nach 1945,POINT (16.38592223599037 48.266027495077566)
Spitalgasse,31.0,9,,1907.0,Krausz Rudolf,6.0,öffentliche Einrichtung,4.-Bauten der öffentl.u.privaten Repräsentation u.Verwaltung,1884-1918,POINT (16.352649237794385 48.221369660851046)
Bastiengasse,1.0,18,,,,3.0,Wohnnutzung,W3.7.-Mieth.s.d.Gründerzeit-Eckhaus,1884-1918,POINT (16.327746597118338 48.23311564800645)
Bastiengasse,15.0,18,,,,3.0,Wohnnutzung,W4.1.-soz.u.gemeinn.Wohnb.-Baulückenbebauungen,nach 1945,POINT (16.32572656576508 48.233504527963426)
Cottagegasse,80.0,19,,1910.0,Eugen Ritter und Feigel von Farenholz,3.0,Wohnnutzung,"W5.2.-freist.1-,2-u.Mehrfamilienh.-freistehende Villen",1884-1918,POINT (16.343401134005994 48.23767031840637)
Voltagasse,55.0,21,,1954.0,,5.0,Wohnnutzung,W4.2.-soz.u.gemeinn.Wohnb.-Hofbebauungen/Superblocks,nach 1945,POINT (16.390588983357716 48.26482326794289)
Gurkgasse,20.0,14,,,,4.0,Sonstige,W3.1.-Mieth.s.d.Gründerzeit-Straßentrakter,1848 -1918,POINT (16.310673862445892 48.19414177239184)
Meldemannstraße,15.0,20,,,,5.0,Wohnnutzung,W3.1.-Mieth.s.d.Gründerzeit-Straßentrakter,1848 -1918,POINT (16.37673350265228 48.241147783405125)
Schweglerstraße,47.0,15,,,,4.0,Wohnnutzung,W3.1.-Mieth.s.d.Gründerzeit-Straßentrakter,1848 -1918,POINT (16.32657662784826 48.200982831224174)
Hildebrandgasse,21.0,18,,,,3.0,Wohnnutzung,W3.2.-Mieth.s.d.Gründerzeit-Seitenflügelhaus,1848 -1918,POINT (16.337522052714082 48.221992718706474)
Hofmannsthalgasse,12.0,3,,,,,keine Angabe,Keine Angabe,Keine Angabe,POINT (16.399230994780133 48.18476521195732)
Leschetitzkygasse,50.0,18,,1930.0,Fommer Alois,0.0,keine Angabe,Keine Angabe,1919-1945,POINT (16.30928228079738 48.236544885773945)
Kindermanngasse,1.0,17,Schule der Stadt Wien,1875.0,Johann Gschwandner,5.0,öffentliche Einrichtung,5.-Bauten der Erziehung und Bildung,1860-1883,POINT (16.331527950429432 48.21773219561398)
Pirkebnerstraße,1.0,12,,,,5.0,Wohnnutzung,W4.3.-soz.u.gemeinn.Wohnb.-Siedlungen in Zeilenbauweise,nach 1945,POINT (16.336745470898677 48.172527492883354)
Bendlgasse,4.0,12,,,,4.0,Wohnnutzung,"W3.4.-Mieth.s.d.Gründerzeit-Doppeltrakter,zweihüft. Hoftrakt",1848 -1918,POINT (16.334406506295622 48.182173121688926)
Wattmanngasse,93.0,13,Siedlung OSTMARK Hietzing,1913.0,Schmid Heinrich und Aichinger Hermann,2.0,Wohnnutzung,"W4.4.-soz.u.gemeinn.Wohnb.-Siedlungen,1-,2-u.Mehrfamilienh.",1884-1918,POINT (16.29391987659481 48.174154181433906)
Billrothstraße,1.0,19,,,,11.0,Wohnnutzung,W4.2.-soz.u.gemeinn.Wohnb.-Hofbebauungen/Superblocks,nach 1945,POINT (16.35210201725226 48.233408471728715)
Ketzergasse,10.0,23,,,,1.0,betriebliche Nutzung,W1.2.-bäuerl.dom.Baustrukt.-Zwerchh.u.Gassenfrontenhaus,1848 -1918,POINT (16.317659522130175 48.125976713439115)
Kuefsteingasse,46.0,14,,,,3.0,Wohnnutzung,W3.1.-Mieth.s.d.Gründerzeit-Straßentrakter,1848 -1918,POINT (16.309526424073677 48.20210772102756)
Salzachstraße,21.0,20,,,,4.0,Wohnnutzung,W3.2.-Mieth.s.d.Gründerzeit-Seitenflügelhaus,1848 -1918,POINT (16.388185896604273 48.2346758181625)
Jörgerstraße,11.0,17,,,,4.0,Wohnnutzung,W3.1.-Mieth.s.d.Gründerzeit-Straßentrakter,1848 -1918,POINT (16.3397203739543 48.21741171390498)
Dürwaringstraße,65.0,18,,,,2.0,Wohnnutzung,"W5.2.-freist.1-,2-u.Mehrfamilienh.-freistehende Villen",nach 1945,POINT (16.31266750410623 48.23367059734131)
Boerhaavegasse,14.0,3,Bundesgymnasium,,,4.0,Wohnnutzung,W3.1.-Mieth.s.d.Gründerzeit-Straßentrakter,1848 -1918,POINT (16.390929982785185 48.19418189353928)
Schwaigergasse,22.0,21,,,,5.0,Wohnnutzung,W3.1.-Mieth.s.d.Gründerzeit-Straßentrakter,1848 -1918,POINT (16.39513057832111 48.25758425003653)
Hietzinger Hauptstraße,42.0,13,Polnische Botschaft,1904.0,,2.0,öffentliche Einrichtung,"W5.2.-freist.1-,2-u.Mehrfamilienh.-freistehende Villen",1884-1918,POINT (16.2901586306603 48.18723182192161)
Pasettistraße,71.0,20,,,,8.0,Wohnnutzung,W3.1.-Mieth.s.d.Gründerzeit-Straßentrakter,nach 1945,POINT (16.383846672507396 48.235888002629544)
Eßlinger Hauptstraße,86.0,22,,,,2.0,betriebliche Nutzung,"W5.1.-freist.1-,2-u.Mehrfamilienh.-Villen in Randbebauung",nach 1945,POINT (16.52434644365961 48.21450093254082)
Romanogasse,31.0,20,,,,6.0,Wohnnutzung,W4.2.-soz.u.gemeinn.Wohnb.-Hofbebauungen/Superblocks,nach 1945,POINT (16.367050691486508 48.23304785464968)
